No,Category,Keywords,Component,Best For,Implementation,Do,Don't,Library Recommendation,Accessibility Notes
1,Video Player,"player, playback, controls, embed, streaming",Custom Video Player,"Landing pages, product demos, course platforms","Use HTML5 <video> with custom controls overlay. Lazy-load poster image. Preload metadata only.","Provide play/pause, volume, progress bar, fullscreen, and captions toggle","Auto-play with sound; hide controls on mobile; use Flash-based players","Video.js, Plyr, Media Chrome, Vidstack","Keyboard-accessible controls; visible focus rings; captions/subtitles required (WCAG 1.2.2)"
2,Background Video,"background, hero, ambient, loop, muted",Background Hero Video,"Landing pages, portfolio sites, brand storytelling","Muted autoplay loop with poster fallback. Use <video autoplay muted loop playsinline>. Compress to <5MB. Provide static image fallback for prefers-reduced-motion.","Keep under 15 seconds; compress aggressively; provide poster image; respect prefers-reduced-motion","Use as primary content delivery; skip fallback image; exceed 10MB file size; include audio","Native HTML5, Cloudinary, Mux","Honor prefers-reduced-motion with static fallback; ensure text overlay meets 4.5:1 contrast ratio"
3,Video Modal,"modal, lightbox, popup, overlay, dialog",Video Lightbox/Modal,"Product tours, testimonials, marketing pages","Trigger modal on thumbnail click. Lazy-load iframe/player inside modal. Pause on close. Trap focus inside modal.","Use thumbnail with play button overlay; pause video on modal close; trap keyboard focus","Autoplay on page load; leave video playing when modal closes; block background scroll without indication","Radix Dialog + Video.js, Headless UI, shadcn/ui Dialog","Focus trap inside modal; Escape key closes; return focus to trigger element; aria-label on play button"
4,Video Gallery,"gallery, grid, carousel, playlist, collection",Video Grid/Carousel,"Portfolio, media library, course catalog, video platforms","Lazy-load thumbnails. Show duration badge. Use CSS Grid for responsive layout. Virtualize lists >50 items.","Show duration, title, and thumbnail; lazy-load off-screen items; provide list/grid view toggle","Load all videos at once; use autoplay on hover for all items; skip pagination for large sets","Swiper, Embla Carousel, CSS Grid, TanStack Virtual","Keyboard navigation between items; aria-label with video title; announce current position in carousel"
5,Video Chapters,"chapters, timeline, segments, table-of-contents, markers",Chapter Navigation,"Tutorials, courses, long-form content, webinars","Use WebVTT chapters or custom chapter markers on the progress bar. Show chapter list sidebar. Highlight active chapter.","Show chapter titles on progress bar; highlight current chapter; allow click-to-seek","Hide chapter navigation on mobile; use only visual markers without text labels","Video.js chapters plugin, Plyr, custom WebVTT","Chapter markers must be keyboard-navigable; announce chapter changes to screen readers"
6,Video Thumbnail,"thumbnail, preview, poster, hover-preview, scrub",Thumbnail Preview,"Video platforms, search results, content browsing","Generate thumbnail sprites. Show preview on hover with timestamp. Use CSS sprite sheets for efficiency.","Show hover preview with timestamp; generate at consistent intervals; use WebP format","Use full-size frames as thumbnails; generate on client-side; skip poster for initial load","FFmpeg (generation), CSS sprites, Cloudinary","Alt text describing video content; visible duration overlay with sufficient contrast"
7,Adaptive Streaming,"adaptive, hls, dash, streaming, bitrate, quality",Adaptive Bitrate Streaming,"Live streaming, VOD platforms, video-heavy apps","Use HLS or DASH. Provide multiple quality levels. Auto-switch based on bandwidth. Show quality selector.","Provide quality selector; start with auto quality; show buffering indicator; offer bandwidth detection","Force highest quality on mobile; skip lower quality variants; ignore bandwidth changes","hls.js, dash.js, Shaka Player, Mux","Announce quality changes; provide audio-description track option; ensure controls work with screen readers"
8,Video Upload,"upload, transcode, process, ingest, encode",Video Upload Interface,"User-generated content, CMS, social platforms, course builders","Chunked upload with progress bar. Validate format/size client-side. Show transcoding progress. Generate thumbnail on completion.","Show upload progress; validate file type/size before upload; support drag-and-drop; show transcoding status","Allow unlimited file sizes; skip format validation; block UI during upload","Uppy, tus (resumable uploads), Mux, Cloudinary","Announce upload progress to screen readers; provide cancel button; keyboard-accessible drop zone"
9,Picture-in-Picture,"pip, floating, mini-player, overlay, detached",Picture-in-Picture Player,"Video platforms, documentation sites, learning platforms","Use the Picture-in-Picture API. Provide a PiP toggle button. Remember user preference. Fallback to fixed mini-player.","Provide explicit PiP toggle; remember user preference; show return-to-player button in PiP","Enable PiP without user action; hide the return button; break page scroll when PiP is active","Native PiP API, Video.js PiP plugin, custom implementation","PiP button must be keyboard-accessible; announce PiP state changes; provide close/return controls"
10,Video Captions,"captions, subtitles, cc, transcript, srt, vtt",Captions & Subtitles,"All video content, accessibility compliance, multilingual apps","Use WebVTT format. Provide caption toggle in player controls. Support multiple languages. Style captions with ::cue CSS.","Enable captions by default for muted videos; support multiple languages; allow caption styling","Burn captions into video; use only auto-generated captions without review; hide caption toggle","WebVTT, Video.js TextTrack, Plyr captions","WCAG 1.2.2 requires captions for prerecorded audio; 1.2.4 requires live captions; user must control display"
11,Video Analytics,"analytics, tracking, engagement, heatmap, watch-time",Video Engagement Tracking,"Marketing, education, content optimization","Track play, pause, completion, seek events. Generate engagement heatmaps. Measure drop-off points.","Track meaningful events (play, 25/50/75/100%); measure engagement rate; identify drop-off points","Track every frame; send analytics on every seek; store PII without consent","Mux Data, Google Analytics events, Plausible, custom event tracking","Respect Do Not Track header; comply with GDPR consent requirements; anonymize user data"
12,Live Streaming,"live, stream, broadcast, webrtc, real-time",Live Video Player,"Webinars, live events, social platforms, auctions","Use HLS for broad compatibility or WebRTC for ultra-low latency. Show live indicator badge. Provide DVR controls for rewind.","Show live indicator; provide latency info; offer DVR/rewind; handle stream interruptions gracefully","Assume stable connection; skip reconnection logic; hide buffering states","hls.js, Mux, Agora, LiveKit, Amazon IVS","Live captions required; announce stream status changes; provide text-based chat alternative"
13,Video Trimming,"trim, cut, clip, editor, range-select",Video Trim/Clip Editor,"Social media tools, CMS, user-generated content platforms","Dual-handle range slider on timeline. Show frame preview at selection points. Display selected duration.","Show frame previews at trim handles; display duration of selection; provide precise time input","Process trimming client-side for large files; skip preview of trim result; use imprecise controls","FFmpeg.wasm (client-side), custom range slider, Mux","Keyboard-operable trim handles; announce selected range; visible focus on active handle"
14,360° / VR Video,"360, vr, immersive, spatial, panoramic",Immersive Video Player,"Virtual tours, real estate, travel, interactive experiences","Use WebXR or Three.js for rendering. Provide mouse/touch drag navigation. Support gyroscope on mobile. Offer flat fallback.","Provide mouse/touch/gyroscope controls; show navigation hints; offer 2D fallback view","Require VR headset; skip mobile gyroscope support; auto-start in VR mode","Three.js, A-Frame, Google VR View, Video.js VR plugin","Provide 2D fallback; keyboard navigation for viewpoint; describe scene in alt text; motion sickness warning"
15,Video Reactions,"reactions, comments, timestamp-comments, social, engagement",Timestamped Reactions,"Social video platforms, educational content, live events","Allow emoji reactions or comments pinned to specific timestamps. Show reaction density on timeline. Moderate content.","Pin reactions to timestamps; show density visualization on timeline; moderate user content","Allow unmoderated content; show all reactions simultaneously; skip spam filtering","Custom implementation, WebSocket for real-time, Firebase","Announce new reactions to screen readers optionally; keyboard-accessible reaction picker; filter controls"
